ts,rss_mb,frame_ms_ewma,queue_len,queue_cap,queue_dropped,budget_chart,budget_instant,budget_preview,gui_interval_ms,guardrail,background
1773391556.615125,139.051,0.000,0,24,0,2,2,1,300,0,1
1773391556.722869,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391556.878557,139.254,0.000,0,24,0,2,2,1,300,0,1
1773391557.723213,139.352,0.000,0,24,0,2,2,1,300,0,1
1773391557.784475,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391558.334134,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391558.615036,139.051,0.000,0,24,0,2,2,1,300,0,1
1773391558.722805,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391558.879524,139.254,0.000,0,24,0,2,2,1,300,0,1
1773391559.723807,139.352,0.000,0,24,0,2,2,1,300,0,1
1773391559.784612,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391560.334610,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391560.334739,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391560.613976,139.051,0.000,0,24,0,2,2,1,300,0,1
1773391560.723520,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391560.879217,139.254,0.000,0,24,0,2,2,1,300,0,1
1773391561.721672,139.352,0.000,0,24,0,2,2,1,300,0,1
1773391561.785048,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391562.331585,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391562.615386,139.051,0.000,0,24,0,2,2,1,300,0,1
1773391562.722270,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391562.879005,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391563.723303,139.352,0.000,0,24,0,2,2,1,300,0,1
1773391563.786992,139.316,0.000,0,24,0,2,2,1,300,0,1
1773391564.331591,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391564.612900,139.051,0.000,0,24,0,2,2,1,300,0,1
1773391564.722267,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391564.878940,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391565.721652,139.355,0.000,0,24,0,2,2,1,300,0,1
1773391565.786877,139.316,0.000,0,24,0,2,2,1,300,0,1
1773391566.331124,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391566.613179,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391566.721543,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391566.879251,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391567.723141,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391567.786911,139.316,0.000,0,24,0,2,2,1,300,0,1
1773391568.331089,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391568.614367,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391568.723521,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391568.879126,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391569.723100,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391569.795879,139.316,0.000,0,24,0,2,2,1,300,0,1
1773391570.331386,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391570.614176,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391570.723737,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391570.879307,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391571.721637,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391571.784360,139.316,0.000,0,24,0,2,2,1,300,0,1
1773391572.331898,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391572.614377,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391572.721942,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391572.879115,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391573.724321,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391573.786058,139.316,0.000,0,24,0,2,2,1,300,0,1
1773391574.331462,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391574.614129,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391574.724426,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391574.879499,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391575.722557,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391575.788075,139.320,0.000,0,24,0,2,2,1,300,0,1
1773391576.331798,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391576.614448,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391576.722351,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391576.879961,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391577.724056,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391577.787512,139.320,0.000,0,24,0,2,2,1,300,0,1
1773391578.331949,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391578.614094,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391578.721962,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391578.879160,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391579.722049,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391579.787440,139.320,0.000,0,24,0,2,2,1,300,0,1
1773391580.333834,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391580.334033,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391580.614929,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391580.722038,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391580.879851,139.258,0.000,0,24,0,2,2,1,300,0,1
1773391581.725007,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391581.787074,139.320,0.000,0,24,0,2,2,1,300,0,1
1773391582.331569,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391582.613969,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391582.723895,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391582.879536,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391583.722266,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391583.784253,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391584.331380,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391584.612391,139.055,0.000,0,24,0,2,2,1,300,0,1
1773391584.724395,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391584.878973,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391585.722970,139.359,0.000,0,24,0,2,2,1,300,0,1
1773391585.787512,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391586.331504,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391586.331507,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391586.614857,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391586.723966,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391586.879353,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391587.722470,139.363,0.000,0,24,0,2,2,1,300,0,1
1773391587.787940,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391588.334264,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391588.613915,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391588.723657,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391588.879941,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391589.722384,139.363,0.000,0,24,0,2,2,1,300,0,1
1773391589.787016,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391590.331804,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391590.613002,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391590.721719,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391590.878239,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391591.724096,139.363,0.000,0,24,0,2,2,1,300,0,1
1773391591.785707,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391592.332535,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391592.332762,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391592.614318,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391592.723681,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391592.880480,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391593.723648,139.363,0.000,0,24,0,2,2,1,300,0,1
1773391593.785025,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391594.331313,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391594.613541,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391594.724501,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391594.879100,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391595.723804,139.363,0.000,0,24,0,2,2,1,300,0,1
1773391595.784639,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391596.331667,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391596.614313,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391596.722522,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391596.878719,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391597.723939,139.363,0.000,0,24,0,2,2,1,300,0,1
1773391597.784565,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391598.331642,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391598.614415,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391598.724048,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391598.878602,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391599.721679,139.363,0.000,0,24,0,2,2,1,300,0,1
1773391599.787309,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391600.334025,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391600.614402,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391600.723995,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391600.879579,139.262,0.000,0,24,0,2,2,1,300,0,1
1773391601.721673,139.363,0.000,0,24,0,2,2,1,300,0,1
1773391601.788192,139.324,0.000,0,24,0,2,2,1,300,0,1
1773391602.331537,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391602.613886,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391602.724283,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391602.879390,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391603.723353,139.363,0.000,0,24,0,2,2,1,300,0,1
1773391603.784465,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391604.331955,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391604.614559,139.059,0.000,0,24,0,2,2,1,300,0,1
1773391604.724488,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391604.879204,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391605.722031,139.367,0.000,0,24,0,2,2,1,300,0,1
1773391605.787556,139.328,0.000,0,24,0,2,2,1,300,0,1
1773391606.331424,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391606.331548,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391606.612942,139.062,0.000,0,24,0,2,2,1,300,0,1
1773391606.721580,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391606.879191,139.266,0.000,0,24,0,2,2,1,300,0,1
1773391607.723051,139.371,0.000,0,24,0,2,2,1,300,0,1
